author,coin,danmaku,favorite,id,like,rank_num,rank_tab,reply,score,share,tag_name,title,view
文曰小强,36904,4776,25130,84768295,34413,62,影视,837,905180,3236,"全能打卡挑战,哈利波特,文曰小强,文曰速读,霍格沃茨,马尔福,邓布利多,罗恩,哈利波特大,Jk罗琳",速读原著《哈利波特》七部大合集，一口气带你读懂全部剧情,353033
锦书致南辞,142624,33766,203665,78258226,182383,61,影视,6216,905408,45778,"影视混剪,百万剪辑师挑战,青春,经典,电影剪辑,剪辑,甜,爱情,表白,多素材,恋爱,催泪向",“我想跟你在一起”,3434395
猎奇笔记本,105492,4189,182233,78787468,200105,60,影视,1509,907414,36005,"搞笑,影视混剪,全能打卡挑战,影视剪辑,剪辑,搞笑视频,电影混剪,电影,影视剪影,电影剪辑,混剪,动画片",每天一遍，防治抑郁,2891820
冯二宸,7938,9165,14327,83613615,112630,59,影视,1475,909386,1759,"盘点排行,影视混剪,任嘉伦,刘诗诗,杨超越,剪辑,古风,电影,国产,古装,电视剧,混剪,盘点,男神",有些人一穿古装，就变了,1396124
咪鸿Miang,21998,4748,31758,86162970,29473,58,影视,988,928127,7219,"任嘉伦,谭松韵,六元一斤虾,陆绎,袁今夏,全能打卡挑战",【绎夏｜台词治愈向】双视角｜今生已不再寻觅，是我在做多情种｜一下夫妇｜六元一斤虾｜陆绎袁今夏｜任嘉伦谭松韵｜,251720
轩邈Elias,27516,4430,11674,85487162,53784,57,影视,3659,936486,2318,"全能打卡挑战,原创,姜子牙,春晚,趣味科普人文,徐峥,影视,唐人街探案3,囧妈",头条买《囧妈》，B站买《姜子牙》？院线夭折？ 中国网飞？别扯了！,1415606
IX_VIII,27184,880,28028,88037392,35337,56,影视,1094,938953,5291,"张钧甯,唐人街探案,陈雨锶,影视剪辑,电视剧,女性,王真儿,张艺上",【唐探女子群像|踩点向】献给你这枝恶之花,335464
史蒂芬周大反派丶,33286,5508,15883,87067414,57678,55,影视,1912,954752,3037,"科幻,SCP基金会,超级英雄,影评,神秘博士,scp-173,惊悚,BBC,电影解说,恐怖,英剧,DOCTORWHO",它比173更恐怖！告诉你这个怪物有多强！高分英剧《神秘博士》剧情解读！,946161
夏季晚上的微风,5595,1123,19734,84257090,34172,54,影视,2056,986837,6434,"童年回忆杀,全能打卡挑战,颜值,童年,90后",【美颜暴击】知道小时候你爸为啥那么有耐心的陪你看这么幼稚的动画片了吧...哇咔咔…,1170521
萧影殿下,509525,22337,311083,80612818,384743,53,影视,8237,988028,74574,"明日方舟,短片,2019bilibili年度影视大征稿,COSPLAY,萧影",【明日方舟】COSPLAY史上最大规模制作百人集结【萧影作品】,2536556
仙不半点鱼,45455,9114,31951,87845914,50515,52,影视,2270,989615,10729,"撒野,顾飞,蒋丞,全能打卡挑战",【仙鱼】撒野永远属于蒋丞和顾飞,244633
开心嘴炮,54008,21717,12424,85942726,108419,51,影视,4142,991366,4270,"几分钟看电影,影评,开心嘴炮,吐槽,剧评,爱情,搞笑,剧评杂谈,王阳明,我不是购物狂,孟子义",最怕有钱人缺心眼儿！《我不是购物狂》诠释有钱真能烧坏脑子,1100512
白绫今天咕了吗,52539,7469,15919,84333197,59431,50,影视,6969,993604,1063,"爱情公寓5,爱情公寓,bilibili新星计划,诸葛大力,影视杂谈,抄袭,搞笑,曾小贤,电视剧",爱情公寓5这么烂吗？我们思考一下，有些UP主跟营销号有什么区别？又有些观众跟XX有什么区别？,839467
从一吃饭了吗,7361,1564,24842,85865558,30422,49,影视,561,995382,7524,"宋茜,下一站是幸福,宋威龙,贺繁星,繁星相宋,色气,全能打卡挑战,剪辑,cp,元宋",【高能预警/色气向】能不能跟我谈恋爱啊 这谁受得住（宋茜/宋威龙）（贺繁星/元宋）下一站是幸福,1002702
胡侃少年,59682,3931,21215,86153058,47019,48,影视,3845,997308,15304,"红色十字路口,影评杂谈,姜文,电影,让子弹飞",《让子弹飞》原著和电影差别有多大？姜文的改编是乱编！,607534
